total,numWhite,white%,numBlack,black%,last
50   ,32      ,64.00 ,18      ,36.00 ,black
50   ,22      ,44.00 ,28      ,56.00 ,black
50   ,23      ,46.00 ,27      ,54.00 ,white
50   ,22      ,44.00 ,28      ,56.00 ,black
50   ,26      ,52.00 ,24      ,48.00 ,black
50   ,26      ,52.00 ,24      ,48.00 ,black
50   ,21      ,42.00 ,29      ,58.00 ,white
50   ,24      ,48.00 ,26      ,52.00 ,black
50   ,26      ,52.00 ,24      ,48.00 ,black
50   ,20      ,40.00 ,30      ,60.00 ,black
50   ,26      ,52.00 ,24      ,48.00 ,black
50   ,25      ,50.00 ,25      ,50.00 ,white
50   ,26      ,52.00 ,24      ,48.00 ,black
50   ,23      ,46.00 ,27      ,54.00 ,white
50   ,26      ,52.00 ,24      ,48.00 ,black
50   ,20      ,40.00 ,30      ,60.00 ,black
50   ,28      ,56.00 ,22      ,44.00 ,black
50   ,24      ,48.00 ,26      ,52.00 ,black
50   ,26      ,52.00 ,24      ,48.00 ,black
50   ,25      ,50.00 ,25      ,50.00 ,white
50   ,22      ,44.00 ,28      ,56.00 ,black
50   ,27      ,54.00 ,23      ,46.00 ,white
50   ,28      ,56.00 ,22      ,44.00 ,black
50   ,18      ,36.00 ,32      ,64.00 ,black
50   ,25      ,50.00 ,25      ,50.00 ,white
50   ,38      ,76.00 ,12      ,24.00 ,black
50   ,22      ,44.00 ,28      ,56.00 ,black
50   ,30      ,60.00 ,20      ,40.00 ,black
50   ,19      ,38.00 ,31      ,62.00 ,white
50   ,25      ,50.00 ,25      ,50.00 ,white
50   ,21      ,42.00 ,29      ,58.00 ,white
50   ,21      ,42.00 ,29      ,58.00 ,white
50   ,30      ,60.00 ,20      ,40.00 ,black
50   ,23      ,46.00 ,27      ,54.00 ,white
50   ,22      ,44.00 ,28      ,56.00 ,black
50   ,23      ,46.00 ,27      ,54.00 ,white
50   ,24      ,48.00 ,26      ,52.00 ,black
50   ,17      ,34.00 ,33      ,66.00 ,white
50   ,25      ,50.00 ,25      ,50.00 ,white
50   ,25      ,50.00 ,25      ,50.00 ,white
50   ,25      ,50.00 ,25      ,50.00 ,white
50   ,26      ,52.00 ,24      ,48.00 ,black
50   ,23      ,46.00 ,27      ,54.00 ,white
50   ,28      ,56.00 ,22      ,44.00 ,black
50   ,20      ,40.00 ,30      ,60.00 ,black
50   ,24      ,48.00 ,26      ,52.00 ,black
50   ,26      ,52.00 ,24      ,48.00 ,black
50   ,24      ,48.00 ,26      ,52.00 ,black
50   ,30      ,60.00 ,20      ,40.00 ,black
50   ,22      ,44.00 ,28      ,56.00 ,black
50   ,21      ,42.00 ,29      ,58.00 ,white
50   ,24      ,48.00 ,26      ,52.00 ,black
50   ,21      ,42.00 ,29      ,58.00 ,white
50   ,29      ,58.00 ,21      ,42.00 ,white
50   ,24      ,48.00 ,26      ,52.00 ,black
50   ,27      ,54.00 ,23      ,46.00 ,white
50   ,28      ,56.00 ,22      ,44.00 ,black
50   ,25      ,50.00 ,25      ,50.00 ,white
50   ,26      ,52.00 ,24      ,48.00 ,black
50   ,20      ,40.00 ,30      ,60.00 ,black
50   ,24      ,48.00 ,26      ,52.00 ,black
50   ,21      ,42.00 ,29      ,58.00 ,white
50   ,23      ,46.00 ,27      ,54.00 ,white
50   ,28      ,56.00 ,22      ,44.00 ,black
50   ,20      ,40.00 ,30      ,60.00 ,black
50   ,27      ,54.00 ,23      ,46.00 ,white
50   ,23      ,46.00 ,27      ,54.00 ,white
50   ,31      ,62.00 ,19      ,38.00 ,white
50   ,27      ,54.00 ,23      ,46.00 ,white
50   ,20      ,40.00 ,30      ,60.00 ,black
50   ,21      ,42.00 ,29      ,58.00 ,white
50   ,27      ,54.00 ,23      ,46.00 ,white
50   ,27      ,54.00 ,23      ,46.00 ,white
50   ,26      ,52.00 ,24      ,48.00 ,black
50   ,22      ,44.00 ,28      ,56.00 ,black
50   ,28      ,56.00 ,22      ,44.00 ,black
50   ,26      ,52.00 ,24      ,48.00 ,black
50   ,25      ,50.00 ,25      ,50.00 ,white
50   ,21      ,42.00 ,29      ,58.00 ,white
50   ,29      ,58.00 ,21      ,42.00 ,white
50   ,26      ,52.00 ,24      ,48.00 ,black
50   ,22      ,44.00 ,28      ,56.00 ,black
50   ,30      ,60.00 ,20      ,40.00 ,black
50   ,31      ,62.00 ,19      ,38.00 ,white
50   ,23      ,46.00 ,27      ,54.00 ,white
50   ,29      ,58.00 ,21      ,42.00 ,white
50   ,27      ,54.00 ,23      ,46.00 ,white
50   ,20      ,40.00 ,30      ,60.00 ,black
50   ,26      ,52.00 ,24      ,48.00 ,black
50   ,21      ,42.00 ,29      ,58.00 ,white
50   ,28      ,56.00 ,22      ,44.00 ,black
50   ,26      ,52.00 ,24      ,48.00 ,black
50   ,21      ,42.00 ,29      ,58.00 ,white
50   ,26      ,52.00 ,24      ,48.00 ,black
50   ,28      ,56.00 ,22      ,44.00 ,black
50   ,25      ,50.00 ,25      ,50.00 ,white
50   ,28      ,56.00 ,22      ,44.00 ,black
50   ,26      ,52.00 ,24      ,48.00 ,black
50   ,21      ,42.00 ,29      ,58.00 ,white
50   ,21      ,42.00 ,29      ,58.00 ,white
50   ,25      ,50.00 ,25      ,50.00 ,white
50   ,27      ,54.00 ,23      ,46.00 ,white
50   ,32      ,64.00 ,18      ,36.00 ,black
50   ,27      ,54.00 ,23      ,46.00 ,white
50   ,29      ,58.00 ,21      ,42.00 ,white
50   ,30      ,60.00 ,20      ,40.00 ,black
50   ,32      ,64.00 ,18      ,36.00 ,black
50   ,26      ,52.00 ,24      ,48.00 ,black
50   ,20      ,40.00 ,30      ,60.00 ,black
50   ,21      ,42.00 ,29      ,58.00 ,white
50   ,28      ,56.00 ,22      ,44.00 ,black
50   ,22      ,44.00 ,28      ,56.00 ,black
50   ,26      ,52.00 ,24      ,48.00 ,black
50   ,28      ,56.00 ,22      ,44.00 ,black
50   ,24      ,48.00 ,26      ,52.00 ,black
50   ,27      ,54.00 ,23      ,46.00 ,white
50   ,25      ,50.00 ,25      ,50.00 ,white
50   ,25      ,50.00 ,25      ,50.00 ,white
50   ,27      ,54.00 ,23      ,46.00 ,white
50   ,27      ,54.00 ,23      ,46.00 ,white
50   ,23      ,46.00 ,27      ,54.00 ,white
50   ,24      ,48.00 ,26      ,52.00 ,black
50   ,22      ,44.00 ,28      ,56.00 ,black
50   ,19      ,38.00 ,31      ,62.00 ,white
50   ,29      ,58.00 ,21      ,42.00 ,white
50   ,20      ,40.00 ,30      ,60.00 ,black
50   ,27      ,54.00 ,23      ,46.00 ,white
50   ,24      ,48.00 ,26      ,52.00 ,black
50   ,25      ,50.00 ,25      ,50.00 ,white
50   ,27      ,54.00 ,23      ,46.00 ,white
50   ,30      ,60.00 ,20      ,40.00 ,black
50   ,28      ,56.00 ,22      ,44.00 ,black
50   ,28      ,56.00 ,22      ,44.00 ,black
50   ,31      ,62.00 ,19      ,38.00 ,white
50   ,27      ,54.00 ,23      ,46.00 ,white
50   ,22      ,44.00 ,28      ,56.00 ,black
50   ,22      ,44.00 ,28      ,56.00 ,black
50   ,29      ,58.00 ,21      ,42.00 ,white
50   ,24      ,48.00 ,26      ,52.00 ,black
50   ,25      ,50.00 ,25      ,50.00 ,white
50   ,23      ,46.00 ,27      ,54.00 ,white
50   ,29      ,58.00 ,21      ,42.00 ,white
50   ,24      ,48.00 ,26      ,52.00 ,black
50   ,25      ,50.00 ,25      ,50.00 ,white
50   ,21      ,42.00 ,29      ,58.00 ,white
50   ,27      ,54.00 ,23      ,46.00 ,white
50   ,29      ,58.00 ,21      ,42.00 ,white
50   ,24      ,48.00 ,26      ,52.00 ,black
50   ,27      ,54.00 ,23      ,46.00 ,white
50   ,29      ,58.00 ,21      ,42.00 ,white
50   ,27      ,54.00 ,23      ,46.00 ,white
50   ,25      ,50.00 ,25      ,50.00 ,white
50   ,27      ,54.00 ,23      ,46.00 ,white
50   ,23      ,46.00 ,27      ,54.00 ,white
50   ,26      ,52.00 ,24      ,48.00 ,black
50   ,24      ,48.00 ,26      ,52.00 ,black
50   ,25      ,50.00 ,25      ,50.00 ,white
50   ,30      ,60.00 ,20      ,40.00 ,black
50   ,25      ,50.00 ,25      ,50.00 ,white
50   ,23      ,46.00 ,27      ,54.00 ,white
50   ,30      ,60.00 ,20      ,40.00 ,black
50   ,28      ,56.00 ,22      ,44.00 ,black
50   ,29      ,58.00 ,21      ,42.00 ,white
50   ,27      ,54.00 ,23      ,46.00 ,white
50   ,26      ,52.00 ,24      ,48.00 ,black
50   ,30      ,60.00 ,20      ,40.00 ,black
50   ,22      ,44.00 ,28      ,56.00 ,black
50   ,17      ,34.00 ,33      ,66.00 ,white
50   ,19      ,38.00 ,31      ,62.00 ,white
50   ,22      ,44.00 ,28      ,56.00 ,black
50   ,27      ,54.00 ,23      ,46.00 ,white
50   ,26      ,52.00 ,24      ,48.00 ,black
50   ,29      ,58.00 ,21      ,42.00 ,white
50   ,21      ,42.00 ,29      ,58.00 ,white
50   ,29      ,58.00 ,21      ,42.00 ,white
50   ,24      ,48.00 ,26      ,52.00 ,black
50   ,26      ,52.00 ,24      ,48.00 ,black
50   ,22      ,44.00 ,28      ,56.00 ,black
50   ,28      ,56.00 ,22      ,44.00 ,black
50   ,29      ,58.00 ,21      ,42.00 ,white
50   ,22      ,44.00 ,28      ,56.00 ,black
50   ,26      ,52.00 ,24      ,48.00 ,black
50   ,30      ,60.00 ,20      ,40.00 ,black
50   ,28      ,56.00 ,22      ,44.00 ,black
50   ,24      ,48.00 ,26      ,52.00 ,black
50   ,26      ,52.00 ,24      ,48.00 ,black
50   ,22      ,44.00 ,28      ,56.00 ,black
50   ,18      ,36.00 ,32      ,64.00 ,black
50   ,27      ,54.00 ,23      ,46.00 ,white
50   ,24      ,48.00 ,26      ,52.00 ,black
50   ,26      ,52.00 ,24      ,48.00 ,black
50   ,26      ,52.00 ,24      ,48.00 ,black
50   ,26      ,52.00 ,24      ,48.00 ,black
50   ,26      ,52.00 ,24      ,48.00 ,black
50   ,17      ,34.00 ,33      ,66.00 ,white
50   ,24      ,48.00 ,26      ,52.00 ,black
50   ,26      ,52.00 ,24      ,48.00 ,black
50   ,19      ,38.00 ,31      ,62.00 ,white
50   ,20      ,40.00 ,30      ,60.00 ,black
50   ,23      ,46.00 ,27      ,54.00 ,white
50   ,31      ,62.00 ,19      ,38.00 ,white
50   ,26      ,52.00 ,24      ,48.00 ,black
50   ,30      ,60.00 ,20      ,40.00 ,black
50   ,26      ,52.00 ,24      ,48.00 ,black
50   ,23      ,46.00 ,27      ,54.00 ,white
50   ,26      ,52.00 ,24      ,48.00 ,black
50   ,21      ,42.00 ,29      ,58.00 ,white
50   ,20      ,40.00 ,30      ,60.00 ,black
50   ,24      ,48.00 ,26      ,52.00 ,black
50   ,15      ,30.00 ,35      ,70.00 ,white
50   ,29      ,58.00 ,21      ,42.00 ,white
50   ,30      ,60.00 ,20      ,40.00 ,black
50   ,27      ,54.00 ,23      ,46.00 ,white
50   ,22      ,44.00 ,28      ,56.00 ,black
50   ,24      ,48.00 ,26      ,52.00 ,black
50   ,23      ,46.00 ,27      ,54.00 ,white
50   ,30      ,60.00 ,20      ,40.00 ,black
50   ,23      ,46.00 ,27      ,54.00 ,white
50   ,26      ,52.00 ,24      ,48.00 ,black
50   ,32      ,64.00 ,18      ,36.00 ,black
50   ,26      ,52.00 ,24      ,48.00 ,black
50   ,32      ,64.00 ,18      ,36.00 ,black
50   ,27      ,54.00 ,23      ,46.00 ,white
50   ,26      ,52.00 ,24      ,48.00 ,black
50   ,27      ,54.00 ,23      ,46.00 ,white
50   ,30      ,60.00 ,20      ,40.00 ,black
50   ,30      ,60.00 ,20      ,40.00 ,black
50   ,25      ,50.00 ,25      ,50.00 ,white
50   ,30      ,60.00 ,20      ,40.00 ,black
50   ,20      ,40.00 ,30      ,60.00 ,black
50   ,22      ,44.00 ,28      ,56.00 ,black
50   ,21      ,42.00 ,29      ,58.00 ,white
50   ,23      ,46.00 ,27      ,54.00 ,white
50   ,23      ,46.00 ,27      ,54.00 ,white
50   ,28      ,56.00 ,22      ,44.00 ,black
50   ,25      ,50.00 ,25      ,50.00 ,white
50   ,25      ,50.00 ,25      ,50.00 ,white
50   ,29      ,58.00 ,21      ,42.00 ,white
50   ,30      ,60.00 ,20      ,40.00 ,black
50   ,23      ,46.00 ,27      ,54.00 ,white
50   ,26      ,52.00 ,24      ,48.00 ,black
50   ,29      ,58.00 ,21      ,42.00 ,white
50   ,24      ,48.00 ,26      ,52.00 ,black
50   ,26      ,52.00 ,24      ,48.00 ,black
50   ,32      ,64.00 ,18      ,36.00 ,black
50   ,25      ,50.00 ,25      ,50.00 ,white
50   ,25      ,50.00 ,25      ,50.00 ,white
50   ,22      ,44.00 ,28      ,56.00 ,black
50   ,25      ,50.00 ,25      ,50.00 ,white
50   ,28      ,56.00 ,22      ,44.00 ,black
50   ,25      ,50.00 ,25      ,50.00 ,white
50   ,19      ,38.00 ,31      ,62.00 ,white
50   ,30      ,60.00 ,20      ,40.00 ,black
50   ,23      ,46.00 ,27      ,54.00 ,white
50   ,29      ,58.00 ,21      ,42.00 ,white
50   ,30      ,60.00 ,20      ,40.00 ,black
50   ,26      ,52.00 ,24      ,48.00 ,black
50   ,23      ,46.00 ,27      ,54.00 ,white
50   ,19      ,38.00 ,31      ,62.00 ,white
50   ,28      ,56.00 ,22      ,44.00 ,black
50   ,20      ,40.00 ,30      ,60.00 ,black
50   ,29      ,58.00 ,21      ,42.00 ,white
50   ,23      ,46.00 ,27      ,54.00 ,white
50   ,24      ,48.00 ,26      ,52.00 ,black
50   ,32      ,64.00 ,18      ,36.00 ,black
50   ,22      ,44.00 ,28      ,56.00 ,black
50   ,23      ,46.00 ,27      ,54.00 ,white
50   ,22      ,44.00 ,28      ,56.00 ,black
50   ,28      ,56.00 ,22      ,44.00 ,black
50   ,29      ,58.00 ,21      ,42.00 ,white
50   ,24      ,48.00 ,26      ,52.00 ,black
50   ,31      ,62.00 ,19      ,38.00 ,white
50   ,27      ,54.00 ,23      ,46.00 ,white
50   ,29      ,58.00 ,21      ,42.00 ,white
50   ,19      ,38.00 ,31      ,62.00 ,white
50   ,20      ,40.00 ,30      ,60.00 ,black
50   ,21      ,42.00 ,29      ,58.00 ,white
50   ,27      ,54.00 ,23      ,46.00 ,white
50   ,28      ,56.00 ,22      ,44.00 ,black
50   ,24      ,48.00 ,26      ,52.00 ,black
50   ,25      ,50.00 ,25      ,50.00 ,white
50   ,25      ,50.00 ,25      ,50.00 ,white
50   ,32      ,64.00 ,18      ,36.00 ,black
50   ,26      ,52.00 ,24      ,48.00 ,black
50   ,23      ,46.00 ,27      ,54.00 ,white
50   ,18      ,36.00 ,32      ,64.00 ,black
50   ,22      ,44.00 ,28      ,56.00 ,black
50   ,31      ,62.00 ,19      ,38.00 ,white
50   ,28      ,56.00 ,22      ,44.00 ,black
50   ,29      ,58.00 ,21      ,42.00 ,white
50   ,22      ,44.00 ,28      ,56.00 ,black
50   ,27      ,54.00 ,23      ,46.00 ,white
50   ,25      ,50.00 ,25      ,50.00 ,white
50   ,27      ,54.00 ,23      ,46.00 ,white
50   ,18      ,36.00 ,32      ,64.00 ,black
50   ,21      ,42.00 ,29      ,58.00 ,white
50   ,23      ,46.00 ,27      ,54.00 ,white
50   ,27      ,54.00 ,23      ,46.00 ,white
50   ,29      ,58.00 ,21      ,42.00 ,white
50   ,28      ,56.00 ,22      ,44.00 ,black
50   ,21      ,42.00 ,29      ,58.00 ,white
50   ,26      ,52.00 ,24      ,48.00 ,black
50   ,35      ,70.00 ,15      ,30.00 ,white
50   ,20      ,40.00 ,30      ,60.00 ,black
50   ,27      ,54.00 ,23      ,46.00 ,white
50   ,25      ,50.00 ,25      ,50.00 ,white
50   ,32      ,64.00 ,18      ,36.00 ,black
50   ,21      ,42.00 ,29      ,58.00 ,white
50   ,30      ,60.00 ,20      ,40.00 ,black
50   ,23      ,46.00 ,27      ,54.00 ,white
50   ,24      ,48.00 ,26      ,52.00 ,black
50   ,22      ,44.00 ,28      ,56.00 ,black
50   ,31      ,62.00 ,19      ,38.00 ,white
50   ,27      ,54.00 ,23      ,46.00 ,white
50   ,22      ,44.00 ,28      ,56.00 ,black
50   ,18      ,36.00 ,32      ,64.00 ,black
50   ,30      ,60.00 ,20      ,40.00 ,black
50   ,31      ,62.00 ,19      ,38.00 ,white
50   ,23      ,46.00 ,27      ,54.00 ,white
50   ,21      ,42.00 ,29      ,58.00 ,white
50   ,24      ,48.00 ,26      ,52.00 ,black
50   ,27      ,54.00 ,23      ,46.00 ,white
50   ,30      ,60.00 ,20      ,40.00 ,black
50   ,29      ,58.00 ,21      ,42.00 ,white
50   ,27      ,54.00 ,23      ,46.00 ,white
50   ,28      ,56.00 ,22      ,44.00 ,black
50   ,22      ,44.00 ,28      ,56.00 ,black
50   ,24      ,48.00 ,26      ,52.00 ,black
50   ,25      ,50.00 ,25      ,50.00 ,white
50   ,23      ,46.00 ,27      ,54.00 ,white
50   ,26      ,52.00 ,24      ,48.00 ,black
50   ,27      ,54.00 ,23      ,46.00 ,white
50   ,23      ,46.00 ,27      ,54.00 ,white
50   ,22      ,44.00 ,28      ,56.00 ,black
50   ,27      ,54.00 ,23      ,46.00 ,white
50   ,28      ,56.00 ,22      ,44.00 ,black
50   ,27      ,54.00 ,23      ,46.00 ,white
50   ,23      ,46.00 ,27      ,54.00 ,white
50   ,21      ,42.00 ,29      ,58.00 ,white
50   ,21      ,42.00 ,29      ,58.00 ,white
50   ,22      ,44.00 ,28      ,56.00 ,black
50   ,26      ,52.00 ,24      ,48.00 ,black
50   ,29      ,58.00 ,21      ,42.00 ,white
50   ,24      ,48.00 ,26      ,52.00 ,black
50   ,19      ,38.00 ,31      ,62.00 ,white
50   ,28      ,56.00 ,22      ,44.00 ,black
50   ,26      ,52.00 ,24      ,48.00 ,black
50   ,23      ,46.00 ,27      ,54.00 ,white
50   ,25      ,50.00 ,25      ,50.00 ,white
50   ,21      ,42.00 ,29      ,58.00 ,white
50   ,25      ,50.00 ,25      ,50.00 ,white
50   ,21      ,42.00 ,29      ,58.00 ,white
50   ,23      ,46.00 ,27      ,54.00 ,white
50   ,23      ,46.00 ,27      ,54.00 ,white
50   ,28      ,56.00 ,22      ,44.00 ,black
50   ,23      ,46.00 ,27      ,54.00 ,white
50   ,25      ,50.00 ,25      ,50.00 ,white
50   ,26      ,52.00 ,24      ,48.00 ,black
50   ,27      ,54.00 ,23      ,46.00 ,white
50   ,24      ,48.00 ,26      ,52.00 ,black
50   ,20      ,40.00 ,30      ,60.00 ,black
50   ,25      ,50.00 ,25      ,50.00 ,white
50   ,28      ,56.00 ,22      ,44.00 ,black
50   ,20      ,40.00 ,30      ,60.00 ,black
50   ,27      ,54.00 ,23      ,46.00 ,white
50   ,20      ,40.00 ,30      ,60.00 ,black
50   ,23      ,46.00 ,27      ,54.00 ,white
50   ,26      ,52.00 ,24      ,48.00 ,black
50   ,26      ,52.00 ,24      ,48.00 ,black
50   ,30      ,60.00 ,20      ,40.00 ,black
50   ,24      ,48.00 ,26      ,52.00 ,black
50   ,26      ,52.00 ,24      ,48.00 ,black
50   ,31      ,62.00 ,19      ,38.00 ,white
50   ,22      ,44.00 ,28      ,56.00 ,black
50   ,24      ,48.00 ,26      ,52.00 ,black
50   ,22      ,44.00 ,28      ,56.00 ,black
50   ,25      ,50.00 ,25      ,50.00 ,white
50   ,28      ,56.00 ,22      ,44.00 ,black
50   ,25      ,50.00 ,25      ,50.00 ,white
50   ,27      ,54.00 ,23      ,46.00 ,white
50   ,29      ,58.00 ,21      ,42.00 ,white
50   ,27      ,54.00 ,23      ,46.00 ,white
50   ,28      ,56.00 ,22      ,44.00 ,black
50   ,22      ,44.00 ,28      ,56.00 ,black
50   ,24      ,48.00 ,26      ,52.00 ,black
50   ,23      ,46.00 ,27      ,54.00 ,white
50   ,23      ,46.00 ,27      ,54.00 ,white
50   ,29      ,58.00 ,21      ,42.00 ,white
50   ,19      ,38.00 ,31      ,62.00 ,white
50   ,28      ,56.00 ,22      ,44.00 ,black
50   ,26      ,52.00 ,24      ,48.00 ,black
50   ,20      ,40.00 ,30      ,60.00 ,black
50   ,29      ,58.00 ,21      ,42.00 ,white
50   ,28      ,56.00 ,22      ,44.00 ,black
50   ,27      ,54.00 ,23      ,46.00 ,white
50   ,24      ,48.00 ,26      ,52.00 ,black
50   ,25      ,50.00 ,25      ,50.00 ,white
50   ,22      ,44.00 ,28      ,56.00 ,black
50   ,35      ,70.00 ,15      ,30.00 ,white
50   ,30      ,60.00 ,20      ,40.00 ,black
50   ,22      ,44.00 ,28      ,56.00 ,black
50   ,29      ,58.00 ,21      ,42.00 ,white
50   ,26      ,52.00 ,24      ,48.00 ,black
50   ,27      ,54.00 ,23      ,46.00 ,white
50   ,20      ,40.00 ,30      ,60.00 ,black
50   ,23      ,46.00 ,27      ,54.00 ,white
50   ,22      ,44.00 ,28      ,56.00 ,black
50   ,27      ,54.00 ,23      ,46.00 ,white
50   ,18      ,36.00 ,32      ,64.00 ,black
50   ,30      ,60.00 ,20      ,40.00 ,black
50   ,29      ,58.00 ,21      ,42.00 ,white
50   ,20      ,40.00 ,30      ,60.00 ,black
50   ,28      ,56.00 ,22      ,44.00 ,black
50   ,26      ,52.00 ,24      ,48.00 ,black
50   ,28      ,56.00 ,22      ,44.00 ,black
50   ,18      ,36.00 ,32      ,64.00 ,black
50   ,22      ,44.00 ,28      ,56.00 ,black
50   ,20      ,40.00 ,30      ,60.00 ,black
50   ,27      ,54.00 ,23      ,46.00 ,white
50   ,31      ,62.00 ,19      ,38.00 ,white
50   ,29      ,58.00 ,21      ,42.00 ,white
50   ,28      ,56.00 ,22      ,44.00 ,black
50   ,32      ,64.00 ,18      ,36.00 ,black
50   ,28      ,56.00 ,22      ,44.00 ,black
50   ,24      ,48.00 ,26      ,52.00 ,black
50   ,24      ,48.00 ,26      ,52.00 ,black
50   ,23      ,46.00 ,27      ,54.00 ,white
50   ,21      ,42.00 ,29      ,58.00 ,white
50   ,26      ,52.00 ,24      ,48.00 ,black
50   ,17      ,34.00 ,33      ,66.00 ,white
50   ,27      ,54.00 ,23      ,46.00 ,white
50   ,22      ,44.00 ,28      ,56.00 ,black
50   ,26      ,52.00 ,24      ,48.00 ,black
50   ,31      ,62.00 ,19      ,38.00 ,white
50   ,23      ,46.00 ,27      ,54.00 ,white
50   ,27      ,54.00 ,23      ,46.00 ,white
50   ,25      ,50.00 ,25      ,50.00 ,white
50   ,30      ,60.00 ,20      ,40.00 ,black
50   ,28      ,56.00 ,22      ,44.00 ,black
50   ,22      ,44.00 ,28      ,56.00 ,black
50   ,27      ,54.00 ,23      ,46.00 ,white
50   ,27      ,54.00 ,23      ,46.00 ,white
50   ,24      ,48.00 ,26      ,52.00 ,black
50   ,25      ,50.00 ,25      ,50.00 ,white
50   ,25      ,50.00 ,25      ,50.00 ,white
50   ,22      ,44.00 ,28      ,56.00 ,black
50   ,23      ,46.00 ,27      ,54.00 ,white
50   ,24      ,48.00 ,26      ,52.00 ,black
50   ,26      ,52.00 ,24      ,48.00 ,black
50   ,28      ,56.00 ,22      ,44.00 ,black
50   ,22      ,44.00 ,28      ,56.00 ,black
50   ,23      ,46.00 ,27      ,54.00 ,white
50   ,19      ,38.00 ,31      ,62.00 ,white
50   ,25      ,50.00 ,25      ,50.00 ,white
50   ,25      ,50.00 ,25      ,50.00 ,white
50   ,18      ,36.00 ,32      ,64.00 ,black
50   ,21      ,42.00 ,29      ,58.00 ,white
50   ,21      ,42.00 ,29      ,58.00 ,white
50   ,21      ,42.00 ,29      ,58.00 ,white
50   ,27      ,54.00 ,23      ,46.00 ,white
50   ,24      ,48.00 ,26      ,52.00 ,black
50   ,27      ,54.00 ,23      ,46.00 ,white
50   ,28      ,56.00 ,22      ,44.00 ,black
